AGE OF AIRCRAFT (YEARS OLD),AGE OF AIRCRAFT (YEAR BUILT),ESTIMATE OF TOTAL HOURS,1 - 50 HOURS,51 - 100 HOURS,101 - 150 HOURS,151 - 200 HOURS,201 - 300 HOURS,301 - 400 HOURS,401 - 500 HOURS,501 - 700 HOURS,701 - 1000 HOURS,1001- 1300 HOURS,1301 - 1600 HOURS,Over 1600 HOURS,Year of Survey
20 to 24,1980 - 1984,6041901,295727,818587,902494,634219,771283,487062,534955,639530,641420,80071,6771,229783,2003
25 to 29,1975 - 1979,4327826,348670,714697,531655,378160,594792,354810,126731,555853,417184,70279,0,234996,2003
30 to 34,1970 - 1974,2255480,314348,475132,339643,291902,291765,169914,95574,78817,90854,97160,4139,6232,2003
35 to 39,1965 - 1969,2119926,308580,619757,461868,148741,183107,95618,20299,24313,13112,10405,9077,225050,2003
40 to 44,1960 - 1964,1105233,178900,319442,89552,50672,59525,27185,20541,91719,4514,0,0,263183,2003
45 to 49,1955 - 1959,780266,120574,174695,98270,43828,77213,66228,5436,20791,0,0,0,173231,2003
50 to 54,1950 - 1954,470106,124966,155135,69199,48694,1013,8894,0,0,0,0,0,62206,2003
55 to 59,1945 - 1949,540333,194248,152755,69716,48117,32851,2476,0,2182,37988,0,0,0,2003
60 and over,-1944,153069,47010,38543,16821,18596,8116,0,10593,13391,0,0,0,0,2003
0 to 4,1999 - 2003,4205662,198428,345109,309083,264327,553415,335141,536120,738831,692223,143488,89498,0,2002
5 to 9,1994 - 1998,1415784,94695,176924,66140,103864,191684,165535,177868,160051,256979,14074,7971,0,2002
10 to 14,1989 - 1993,1067750,81624,102439,76216,80631,149033,111156,162818,147761,145637,10434,0,0,2002
15 to 19,1984 - 1988,2126919,87191,202609,217241,181641,302479,338553,209389,329066,142148,97931,18672,0,2002
20 to 24,1979 - 1983,6116271,314415,787884,729323,516208,951263,710926,597693,790451,613972,41909,8460,53768,2002
25 to 29,1974 - 1978,4379052,338798,756326,721459,506968,644570,428778,192803,472447,222367,94535,0,0,2002
30 to 34,1969 - 1973,2694283,295415,567395,406352,195718,480899,272054,163683,135928,40265,0,12188,124385,2002
35 to 39,1964 - 1968,2084971,288271,505040,343459,195358,230640,180119,88042,134150,81348,10498,17570,10477,2002
40 to 44,1959 - 1963,1189473,192885,305351,150814,136095,186407,61565,6212,35529,114614,0,0,0,2002
45 to 49,1954 - 1958,652805,87073,148182,94709,58175,100524,22919,12144,29288,47781,52012,0,0,2002
50 to 54,1949 - 1953,433295,141179,141659,66293,19088,18932,14266,5006,26873,0,0,0,0,2002
55 to 59,1944 - 1948,503716,153337,146373,79729,41601,22148,26624,19850,13092,963,0,0,0,2002
60 and over,-1943,170116,49828,52060,15681,14587,13646,18264,6051,0,0,0,0,0,2002
